_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
438130,4154304,2017.0,2021,1950.0,PRIVATE,5,York South-Weston,2417 KEELE ST,3,12,2021-10-21,64,Evaluation needs to be conducted in 1 year,15,3.0,3.0,5.0,3.0,3.0,3.0,,2.0,,,3.0,3.0,5.0,3.0,3.0,3.0,,3.0,3.0,,W0523,43.7099657266,-79.4779872702,306558.457,4840889.976
438131,4154354,2017.0,2021,1960.0,PRIVATE,5,York South-Weston,2418 KEELE ST,3,11,2021-10-21,60,Evaluation needs to be conducted in 1 year,16,3.0,3.0,5.0,3.0,3.0,3.0,,2.0,,3.0,2.0,2.0,5.0,3.0,3.0,3.0,,3.0,2.0,,W0526,43.710013521099995,-79.4787756914,306494.919,4840895.271000001
438132,4156298,2018.0,2021,1969.0,TCHC,10,Spadina-Fort York,170 VANAULEY WALK,6,40,2021-10-21,64,Evaluation needs to be conducted in 1 year,18,3.0,3.0,4.0,2.0,,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,,S1023,43.651687962,-79.400557945,312805.773,4834421.0
438133,4155198,2017.0,2021,1960.0,PRIVATE,5,York South-Weston,898 JANE ST,8,63,2021-10-21,91,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,,W0534,43.6776538886,-79.49672691939999,305048.27,4837300.091
438134,4155197,2017.0,2021,1973.0,PRIVATE,5,York South-Weston,890 JANE ST,15,146,2021-10-21,91,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,4.0,4.0,5.0,,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,,W0534,43.6765889645,-79.49634895770001,305078.753,4837181.778
438135,4154164,2017.0,2021,1960.0,PRIVATE,15,Don Valley West,50 THORNCLIFFE PARK DR,6,57,2021-10-21,88,Evaluation needs to be conducted in 3 years,18,3.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,,4.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,,N1533,43.703361048999994,-79.342351105,317490.226,4840168.943
438136,4155216,2017.0,2021,1962.0,PRIVATE,3,Etobicoke-Lakeshore,765 BROWNS LINE,5,24,2021-10-21,84,Evaluation needs to be conducted in 2 years,16,5.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,,,W0331,43.6083356867,-79.5473887151,300958.963,4829600.237
438137,4153334,2017.0,2021,1993.0,SOCIAL HOUSING,12,Toronto-St. Paul's,339 ALBANY AVE,4,42,2021-10-21,83,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,,4.0,4.0,4.0,S1236,43.6754298022,-79.4139451731,311723.405,4837056.473
438138,4153674,2017.0,2021,1995.0,SOCIAL HOUSING,19,Beaches-East York,123 COXWELL AVE,3,13,2021-10-21,89,Evaluation needs to be conducted in 3 years,16,5.0,3.0,5.0,5.0,5.0,5.0,,5.0,,,4.0,5.0,3.0,5.0,3.0,3.0,,5.0,5.0,5.0,S1937,43.6698161288,-79.3176657334,319488.188,4836445.326
438139,4154165,2017.0,2021,1964.0,PRIVATE,15,Don Valley West,44 THORNCLIFFE PARK DR,6,90,2021-10-21,74,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,2.0,2.0,4.0,4.0,5.0,,N1533,43.702592381,-79.342924935,317444.14,4840083.458000001
